Initializing ElGamal Parameters...
Starting server...
Server started on port 8183
Received command: CMD_EARLY_RESHUFFLE_INIT
DiskIOLoadBucketCiphertextsFromDiskBN: 1830729 ns
ServerComputationParallelRerandomizeBucket: 6373518 ns
ServerComputationApplyPermutationBucket: 784839 ns
HelperComputationAllServerSide: 30363311 ns
DiskIOWriteBucketCiphertextsToDisk: 3837047 ns
Received command: CMD_EARLY_RESHUFFLE_INIT
DiskIOLoadBucketCiphertextsFromDiskBN: 1772679 ns
ServerComputationParallelRerandomizeBucket: 6148541 ns
ServerComputationApplyPermutationBucket: 604874 ns
HelperComputationAllServerSide: 29799837 ns
DiskIOWriteBucketCiphertextsToDisk: 3829617 ns
Received command: CMD_EARLY_RESHUFFLE_INIT
DiskIOLoadBucketCiphertextsFromDiskBN: 1742832 ns
ServerComputationParallelRerandomizeBucket: 6129650 ns
ServerComputationApplyPermutationBucket: 606662 ns
HelperComputationAllServerSide: 29344126 ns
DiskIOWriteBucketCiphertextsToDisk: 3824680 ns
Received command: CMD_EARLY_RESHUFFLE_INIT
DiskIOLoadBucketCiphertextsFromDiskBN: 1731377 ns
ServerComputationParallelRerandomizeBucket: 6108478 ns
ServerComputationApplyPermutationBucket: 607639 ns
HelperComputationAllServerSide: 29159934 ns
DiskIOWriteBucketCiphertextsToDisk: 3836767 ns
Received command: CMD_EARLY_RESHUFFLE_INIT
DiskIOLoadBucketCiphertextsFromDiskBN: 1733290 ns
ServerComputationParallelRerandomizeBucket: 6082657 ns
ServerComputationApplyPermutationBucket: 587735 ns
HelperComputationAllServerSide: 29132036 ns
DiskIOWriteBucketCiphertextsToDisk: 3829292 ns
Received command: CMD_EARLY_RESHUFFLE_INIT
DiskIOLoadBucketCiphertextsFromDiskBN: 1725630 ns
ServerComputationParallelRerandomizeBucket: 6203597 ns
ServerComputationApplyPermutationBucket: 611469 ns
HelperComputationAllServerSide: 29018141 ns
DiskIOWriteBucketCiphertextsToDisk: 3834795 ns
Received command: CMD_EARLY_RESHUFFLE_INIT
DiskIOLoadBucketCiphertextsFromDiskBN: 1736999 ns
ServerComputationParallelRerandomizeBucket: 6103743 ns
ServerComputationApplyPermutationBucket: 588251 ns
HelperComputationAllServerSide: 29158892 ns
DiskIOWriteBucketCiphertextsToDisk: 3812483 ns
Received command: CMD_EARLY_RESHUFFLE_INIT
DiskIOLoadBucketCiphertextsFromDiskBN: 1727423 ns
ServerComputationParallelRerandomizeBucket: 6093821 ns
ServerComputationApplyPermutationBucket: 617798 ns
HelperComputationAllServerSide: 29163888 ns
DiskIOWriteBucketCiphertextsToDisk: 3833704 ns
Received command: CMD_EARLY_RESHUFFLE_INIT
DiskIOLoadBucketCiphertextsFromDiskBN: 1728706 ns
ServerComputationParallelRerandomizeBucket: 6114966 ns
ServerComputationApplyPermutationBucket: 591313 ns
HelperComputationAllServerSide: 29133177 ns
DiskIOWriteBucketCiphertextsToDisk: 3837051 ns
Received command: CMD_EARLY_RESHUFFLE_INIT
DiskIOLoadBucketCiphertextsFromDiskBN: 1732573 ns
ServerComputationParallelRerandomizeBucket: 6167583 ns
ServerComputationApplyPermutationBucket: 613011 ns
HelperComputationAllServerSide: 29232691 ns
DiskIOWriteBucketCiphertextsToDisk: 3839084 ns
Received command: CMD_EARLY_RESHUFFLE_INIT
DiskIOLoadBucketCiphertextsFromDiskBN: 1732394 ns
ServerComputationParallelRerandomizeBucket: 6143680 ns
ServerComputationApplyPermutationBucket: 614853 ns
HelperComputationAllServerSide: 29292875 ns
DiskIOWriteBucketCiphertextsToDisk: 3786907 ns
Received command: CMD_EARLY_RESHUFFLE_INIT
DiskIOLoadBucketCiphertextsFromDiskBN: 1726438 ns
ServerComputationParallelRerandomizeBucket: 6249888 ns
ServerComputationApplyPermutationBucket: 587351 ns
HelperComputationAllServerSide: 29125487 ns
DiskIOWriteBucketCiphertextsToDisk: 3818792 ns
Received command: CMD_EARLY_RESHUFFLE_INIT
DiskIOLoadBucketCiphertextsFromDiskBN: 1725572 ns
ServerComputationParallelRerandomizeBucket: 6178623 ns
ServerComputationApplyPermutationBucket: 605504 ns
HelperComputationAllServerSide: 29814856 ns
DiskIOWriteBucketCiphertextsToDisk: 3852548 ns
Received command: CMD_EARLY_RESHUFFLE_INIT
DiskIOLoadBucketCiphertextsFromDiskBN: 1733482 ns
ServerComputationParallelRerandomizeBucket: 6213822 ns
ServerComputationApplyPermutationBucket: 586325 ns
HelperComputationAllServerSide: 29988241 ns
DiskIOWriteBucketCiphertextsToDisk: 3816197 ns
Received command: CMD_EARLY_RESHUFFLE_INIT
DiskIOLoadBucketCiphertextsFromDiskBN: 1736773 ns
ServerComputationParallelRerandomizeBucket: 6137167 ns
ServerComputationApplyPermutationBucket: 607883 ns
HelperComputationAllServerSide: 29264951 ns
DiskIOWriteBucketCiphertextsToDisk: 3846468 ns
Received command: CMD_EARLY_RESHUFFLE_INIT
DiskIOLoadBucketCiphertextsFromDiskBN: 1718754 ns
ServerComputationParallelRerandomizeBucket: 6123406 ns
ServerComputationApplyPermutationBucket: 587796 ns
HelperComputationAllServerSide: 29057667 ns
DiskIOWriteBucketCiphertextsToDisk: 3853088 ns
Received command: CMD_EARLY_RESHUFFLE_INIT
DiskIOLoadBucketCiphertextsFromDiskBN: 1719127 ns
ServerComputationParallelRerandomizeBucket: 6115365 ns
ServerComputationApplyPermutationBucket: 594628 ns
HelperComputationAllServerSide: 29885958 ns
DiskIOWriteBucketCiphertextsToDisk: 3825801 ns
Received command: CMD_EARLY_RESHUFFLE_INIT
DiskIOLoadBucketCiphertextsFromDiskBN: 1727562 ns
ServerComputationParallelRerandomizeBucket: 5997343 ns
ServerComputationApplyPermutationBucket: 593295 ns
HelperComputationAllServerSide: 29142728 ns
DiskIOWriteBucketCiphertextsToDisk: 3849817 ns
Received command: CMD_EARLY_RESHUFFLE_INIT
DiskIOLoadBucketCiphertextsFromDiskBN: 1722357 ns
ServerComputationParallelRerandomizeBucket: 6043810 ns
ServerComputationApplyPermutationBucket: 593046 ns
HelperComputationAllServerSide: 29263412 ns
DiskIOWriteBucketCiphertextsToDisk: 3831295 ns
Received command: CMD_EARLY_RESHUFFLE_INIT
DiskIOLoadBucketCiphertextsFromDiskBN: 1727487 ns
ServerComputationParallelRerandomizeBucket: 6151705 ns
ServerComputationApplyPermutationBucket: 590547 ns
HelperComputationAllServerSide: 29126162 ns
DiskIOWriteBucketCiphertextsToDisk: 3823598 ns
Received command: CMD_EARLY_RESHUFFLE_INIT
DiskIOLoadBucketCiphertextsFromDiskBN: 1740951 ns
ServerComputationParallelRerandomizeBucket: 6080491 ns
ServerComputationApplyPermutationBucket: 596039 ns
HelperComputationAllServerSide: 28923182 ns
DiskIOWriteBucketCiphertextsToDisk: 3830665 ns
Received command: CMD_EARLY_RESHUFFLE_INIT
DiskIOLoadBucketCiphertextsFromDiskBN: 1725508 ns
ServerComputationParallelRerandomizeBucket: 6229116 ns
ServerComputationApplyPermutationBucket: 586174 ns
HelperComputationAllServerSide: 29151618 ns
DiskIOWriteBucketCiphertextsToDisk: 3826322 ns
Received command: CMD_EARLY_RESHUFFLE_INIT
DiskIOLoadBucketCiphertextsFromDiskBN: 1738442 ns
ServerComputationParallelRerandomizeBucket: 6138954 ns
ServerComputationApplyPermutationBucket: 590409 ns
HelperComputationAllServerSide: 29183229 ns
DiskIOWriteBucketCiphertextsToDisk: 3847114 ns
Received command: CMD_EARLY_RESHUFFLE_INIT
DiskIOLoadBucketCiphertextsFromDiskBN: 1733058 ns
ServerComputationParallelRerandomizeBucket: 6147815 ns
ServerComputationApplyPermutationBucket: 590325 ns
HelperComputationAllServerSide: 29086382 ns
DiskIOWriteBucketCiphertextsToDisk: 3832090 ns
Received command: CMD_EARLY_RESHUFFLE_INIT
DiskIOLoadBucketCiphertextsFromDiskBN: 1726721 ns
ServerComputationParallelRerandomizeBucket: 6139565 ns
ServerComputationApplyPermutationBucket: 592738 ns
HelperComputationAllServerSide: 29099009 ns
DiskIOWriteBucketCiphertextsToDisk: 3808305 ns
Received command: CMD_EARLY_RESHUFFLE_INIT
DiskIOLoadBucketCiphertextsFromDiskBN: 1735765 ns
ServerComputationParallelRerandomizeBucket: 6165105 ns
ServerComputationApplyPermutationBucket: 585694 ns
HelperComputationAllServerSide: 29083203 ns
DiskIOWriteBucketCiphertextsToDisk: 3826781 ns
Received command: CMD_EARLY_RESHUFFLE_INIT
DiskIOLoadBucketCiphertextsFromDiskBN: 1722808 ns
ServerComputationParallelRerandomizeBucket: 6142104 ns
ServerComputationApplyPermutationBucket: 591216 ns
HelperComputationAllServerSide: 29321738 ns
DiskIOWriteBucketCiphertextsToDisk: 3843497 ns
Received command: CMD_EARLY_RESHUFFLE_INIT
DiskIOLoadBucketCiphertextsFromDiskBN: 1726434 ns
ServerComputationParallelRerandomizeBucket: 6187085 ns
ServerComputationApplyPermutationBucket: 612480 ns
HelperComputationAllServerSide: 28983990 ns
DiskIOWriteBucketCiphertextsToDisk: 3846350 ns
Received command: CMD_EARLY_RESHUFFLE_INIT
DiskIOLoadBucketCiphertextsFromDiskBN: 1726152 ns
ServerComputationParallelRerandomizeBucket: 6168442 ns
ServerComputationApplyPermutationBucket: 604893 ns
HelperComputationAllServerSide: 29194366 ns
DiskIOWriteBucketCiphertextsToDisk: 3817277 ns
Received command: CMD_EARLY_RESHUFFLE_INIT
DiskIOLoadBucketCiphertextsFromDiskBN: 1722708 ns
ServerComputationParallelRerandomizeBucket: 6133797 ns
ServerComputationApplyPermutationBucket: 592441 ns
HelperComputationAllServerSide: 29175410 ns
DiskIOWriteBucketCiphertextsToDisk: 3825599 ns
Received command: CMD_EARLY_RESHUFFLE_INIT
DiskIOLoadBucketCiphertextsFromDiskBN: 1728327 ns
ServerComputationParallelRerandomizeBucket: 6112530 ns
ServerComputationApplyPermutationBucket: 585983 ns
HelperComputationAllServerSide: 29468758 ns
DiskIOWriteBucketCiphertextsToDisk: 3838134 ns
Received command: CMD_EARLY_RESHUFFLE_INIT
DiskIOLoadBucketCiphertextsFromDiskBN: 1732854 ns
ServerComputationParallelRerandomizeBucket: 6145786 ns
ServerComputationApplyPermutationBucket: 609539 ns
HelperComputationAllServerSide: 29149173 ns
DiskIOWriteBucketCiphertextsToDisk: 3833523 ns
Received command: CMD_EARLY_RESHUFFLE_INIT
DiskIOLoadBucketCiphertextsFromDiskBN: 1731452 ns
ServerComputationParallelRerandomizeBucket: 6088701 ns
ServerComputationApplyPermutationBucket: 595154 ns
HelperComputationAllServerSide: 29077322 ns
DiskIOWriteBucketCiphertextsToDisk: 3834667 ns
Received command: CMD_EARLY_RESHUFFLE_INIT
DiskIOLoadBucketCiphertextsFromDiskBN: 1728446 ns
ServerComputationParallelRerandomizeBucket: 6174779 ns
ServerComputationApplyPermutationBucket: 593133 ns
HelperComputationAllServerSide: 29310093 ns
DiskIOWriteBucketCiphertextsToDisk: 3819615 ns
Received command: CMD_EARLY_RESHUFFLE_INIT
DiskIOLoadBucketCiphertextsFromDiskBN: 1732054 ns
ServerComputationParallelRerandomizeBucket: 6221717 ns
ServerComputationApplyPermutationBucket: 583920 ns
HelperComputationAllServerSide: 29186542 ns
DiskIOWriteBucketCiphertextsToDisk: 3814352 ns
Received command: CMD_EARLY_RESHUFFLE_INIT
DiskIOLoadBucketCiphertextsFromDiskBN: 1725521 ns
ServerComputationParallelRerandomizeBucket: 6073585 ns
ServerComputationApplyPermutationBucket: 586128 ns
HelperComputationAllServerSide: 29140251 ns
DiskIOWriteBucketCiphertextsToDisk: 3854715 ns
Received command: CMD_EARLY_RESHUFFLE_INIT
