Initializing ElGamal Parameters...
Connected to the server at 128.173.236.241:8183
Iteration 0for warm up
ClientComputationUpdateMetaData:2875 ns
ClientComputationRerandomization: 92533541 ns
ClientServerCommunicationSendRootBucket: 1028076084 ns
ClientComputationGenTripletEvictPerms: 11750 ns
ClientServerCommunicationSendTripletEvictPerms: 3532917 ns
ClientComputationGenTripletEvictPerms: 33500 ns
ClientServerCommunicationSendTripletEvictPerms: 4791500 ns
ClientComputationGenTripletEvictPerms: 29625 ns
ClientServerCommunicationSendTripletEvictPerms: 3953875 ns
ClientComputationGenTripletEvictPerms: 25250 ns
ClientServerCommunicationSendTripletEvictPerms: 4878750 ns
ClientComputationGenTripletEvictPerms: 29833 ns
ClientServerCommunicationSendTripletEvictPerms: 3765667 ns
ClientComputationGenTripletEvictPerms: 24292 ns
ClientServerCommunicationSendTripletEvictPerms: 3410250 ns
ClientComputationGenTripletEvictPerms: 48167 ns
ClientServerCommunicationSendTripletEvictPerms: 3774250 ns
ClientComputationGenTripletEvictPerms: 26291 ns
ClientServerCommunicationSendTripletEvictPerms: 4111792 ns
ClientComputationGenTripletEvictPerms: 8666 ns
ClientServerCommunicationSendTripletEvictPerms: 3854625 ns
ClientComputationGenTripletEvictPerms: 35083 ns
ClientServerCommunicationSendTripletEvictPerms: 3960625 ns
ClientComputationGenTripletEvictPerms: 13792 ns
ClientServerCommunicationSendTripletEvictPerms: 6249625 ns
ClientComputationGenTripletEvictPerms: 31750 ns
ClientServerCommunicationSendTripletEvictPerms: 3473916 ns
ClientComputationGenTripletEvictPerms: 29958 ns
ClientServerCommunicationSendTripletEvictPerms: 3333500 ns
ClientComputationGenTripletEvictPerms: 32542 ns
ClientServerCommunicationSendTripletEvictPerms: 3347500 ns
ClientComputationGenTripletEvictPerms: 44500 ns
ClientServerCommunicationSendTripletEvictPerms: 3803709 ns
ClientComputationGenTripletEvictPerms: 36750 ns
ClientServerCommunicationSendTripletEvictPerms: 3506542 ns
ClientComputationGenTripletEvictPerms: 18042 ns
ClientServerCommunicationSendTripletEvictPerms: 3754375 ns
ClientComputationGenTripletEvictPerms: 28000 ns
ClientServerCommunicationSendTripletEvictPerms: 4890167 ns
ClientComputationGenTripletEvictPerms: 74625 ns
ClientServerCommunicationSendTripletEvictPerms: 3463625 ns
ClientComputationGenTripletEvictPerms: 89750 ns
ClientServerCommunicationSendTripletEvictPerms: 3544292 ns
ClientComputationGenTripletEvictPerms: 63292 ns
ClientServerCommunicationSendTripletEvictPerms: 3706625 ns
ClientComputationGenTripletEvictPerms: 25083 ns
ClientServerCommunicationSendTripletEvictPerms: 3636417 ns
ClientComputationGenTripletEvictPerms: 33250 ns
ClientServerCommunicationSendTripletEvictPerms: 3365166 ns
ClientComputationGenTripletEvictPerms: 14458 ns
ClientServerCommunicationSendTripletEvictPerms: 3562167 ns
ClientComputationGenTripletEvictPerms: 42250 ns
ClientServerCommunicationSendTripletEvictPerms: 4311875 ns
Iteration 1for warm up
ClientComputationUpdateMetaData:7208 ns
ClientComputationRerandomization: 104298208 ns
ClientServerCommunicationSendRootBucket: 1376953375 ns
ClientComputationGenTripletEvictPerms: 29500 ns
ClientServerCommunicationSendTripletEvictPerms: 3195458 ns
ClientComputationGenTripletEvictPerms: 15333 ns
ClientServerCommunicationSendTripletEvictPerms: 3736375 ns
ClientComputationGenTripletEvictPerms: 31375 ns
ClientServerCommunicationSendTripletEvictPerms: 3525917 ns
ClientComputationGenTripletEvictPerms: 29792 ns
ClientServerCommunicationSendTripletEvictPerms: 3583542 ns
ClientComputationGenTripletEvictPerms: 30500 ns
ClientServerCommunicationSendTripletEvictPerms: 3723708 ns
ClientComputationGenTripletEvictPerms: 41958 ns
ClientServerCommunicationSendTripletEvictPerms: 3552042 ns
ClientComputationGenTripletEvictPerms: 22625 ns
ClientServerCommunicationSendTripletEvictPerms: 3595709 ns
ClientComputationGenTripletEvictPerms: 37167 ns
ClientServerCommunicationSendTripletEvictPerms: 3648542 ns
ClientComputationGenTripletEvictPerms: 34416 ns
ClientServerCommunicationSendTripletEvictPerms: 3392750 ns
ClientComputationGenTripletEvictPerms: 6333 ns
ClientServerCommunicationSendTripletEvictPerms: 3801333 ns
ClientComputationGenTripletEvictPerms: 18042 ns
ClientServerCommunicationSendTripletEvictPerms: 3813667 ns
ClientComputationGenTripletEvictPerms: 33167 ns
ClientServerCommunicationSendTripletEvictPerms: 3525625 ns
ClientComputationGenTripletEvictPerms: 139917 ns
ClientServerCommunicationSendTripletEvictPerms: 3727208 ns
ClientComputationGenTripletEvictPerms: 33042 ns
