Initializing ElGamal Parameters...
Starting server...
Server started on port 8183
Generating Evict Path
ServerComputationGenPathBucketIDsInReverseOrder: 2101 ns
DiskIOLoadBucketCiphertextsFromDiskBN: 130677219 ns
ClientServerCommunicationSendRootBucketData: 315208845 ns
ServerComputationParallelRerandomizeTripletBuckets: 20656320 ns
ServerComputationApplyPermutationTripletBucket: 2570265 ns
HelperComputationAll: 137150598 ns
ServerComputationParallelRerandomizeTripletBuckets: 21652276 ns
ServerComputationApplyPermutationTripletBuckets: 2397316 ns
HelperComputationAll: 118102225 ns
ServerComputationParallelRerandomizeTripletBuckets: 19487955 ns
ServerComputationApplyPermutationTripletBuckets: 1897532 ns
HelperComputationAll: 118584577 ns
ServerComputationParallelRerandomizeTripletBuckets: 19211833 ns
ServerComputationApplyPermutationTripletBuckets: 1895234 ns
HelperComputationAll: 89989064 ns
ServerComputationParallelRerandomizeTripletBuckets: 20615302 ns
ServerComputationApplyPermutationTripletBuckets: 2165649 ns
HelperComputationAll: 89710502 ns
ServerComputationParallelRerandomizeTripletBuckets: 19695938 ns
ServerComputationApplyPermutationTripletBuckets: 2153702 ns
HelperComputationAll: 89569202 ns
ServerComputationParallelRerandomizeTripletBuckets: 19869546 ns
ServerComputationApplyPermutationTripletBuckets: 2131264 ns
HelperComputationAll: 89367962 ns
ServerComputationParallelRerandomizeTripletBuckets: 21718416 ns
ServerComputationApplyPermutationTripletBuckets: 1890139 ns
HelperComputationAll: 90719694 ns
ServerComputationParallelRerandomizeTripletBuckets: 21282327 ns
ServerComputationApplyPermutationTripletBuckets: 1883382 ns
HelperComputationAll: 98264067 ns
ServerComputationParallelRerandomizeTripletBuckets: 22655594 ns
ServerComputationApplyPermutationTripletBuckets: 1901953 ns
HelperComputationAll: 90114006 ns
ServerComputationParallelRerandomizeTripletBuckets: 22065443 ns
ServerComputationApplyPermutationTripletBuckets: 1892992 ns
HelperComputationAll: 91294400 ns
ServerComputationParallelRerandomizeTripletBuckets: 22478584 ns
ServerComputationApplyPermutationTripletBuckets: 1911174 ns
HelperComputationAll: 101383571 ns
ServerComputationParallelRerandomizeTripletBuckets: 22097008 ns
ServerComputationApplyPermutationTripletBuckets: 1889627 ns
HelperComputationAll: 90317998 ns
ServerComputationParallelRerandomizeTripletBuckets: 21591886 ns
ServerComputationApplyPermutationTripletBuckets: 1909218 ns
HelperComputationAll: 89822945 ns
ServerComputationParallelRerandomizeTripletBuckets: 22000577 ns
ServerComputationApplyPermutationTripletBuckets: 1893087 ns
HelperComputationAll: 90373946 ns
ServerComputationParallelRerandomizeTripletBuckets: 20077802 ns
ServerComputationApplyPermutationTripletBuckets: 1908771 ns
HelperComputationAll: 88894581 ns
ServerComputationParallelRerandomizeTripletBuckets: 23446913 ns
ServerComputationApplyPermutationTripletBuckets: 1891770 ns
HelperComputationAll: 90190628 ns
ServerComputationParallelRerandomizeTripletBuckets: 18300462 ns
ServerComputationApplyPermutationTripletBuckets: 2362807 ns
HelperComputationAll: 90636428 ns
ServerComputationParallelRerandomizeTripletBuckets: 20349840 ns
ServerComputationApplyPermutationTripletBuckets: 1896543 ns
HelperComputationAll: 89490927 ns
ServerComputationParallelRerandomizeTripletBuckets: 19331077 ns
ServerComputationApplyPermutationTripletBuckets: 1915625 ns
HelperComputationAll: 89042260 ns
ServerComputationParallelRerandomizeTripletBuckets: 21131161 ns
ServerComputationApplyPermutationTripletBuckets: 1886289 ns
HelperComputationAll: 98162619 ns
ServerComputationParallelRerandomizeTripletBuckets: 18751917 ns
ServerComputationApplyPermutationTripletBuckets: 1876022 ns
HelperComputationAll: 88874106 ns
ServerComputationParallelRerandomizeTripletBuckets: 23331145 ns
ServerComputationApplyPermutationTripletBuckets: 2153171 ns
HelperComputationAll: 89173683 ns
ServerComputationParallelRerandomizeTripletBuckets: 22950493 ns
ServerComputationApplyPermutationTripletBuckets: 1897814 ns
HelperComputationAll: 88611822 ns
ServerComputationParallelRerandomizeTripletBuckets: 21194792 ns
ServerComputationApplyPermutationTripletBuckets: 1900422 ns
HelperComputationAll: 89688795 ns
DiskIOWriteBucketCiphertextsToDisk: 375631223 ns
Generating Evict Path
ServerComputationGenPathBucketIDsInReverseOrder: 1593 ns
DiskIOLoadBucketCiphertextsFromDiskBN: 115714808 ns
ClientServerCommunicationSendRootBucketData: 236965930 ns
ServerComputationParallelRerandomizeTripletBuckets: 22544027 ns
ServerComputationApplyPermutationTripletBucket: 1840457 ns
HelperComputationAll: 107835586 ns
ServerComputationParallelRerandomizeTripletBuckets: 20468038 ns
ServerComputationApplyPermutationTripletBuckets: 1897533 ns
HelperComputationAll: 91645189 ns
ServerComputationParallelRerandomizeTripletBuckets: 19101553 ns
ServerComputationApplyPermutationTripletBuckets: 1936804 ns
HelperComputationAll: 91707836 ns
ServerComputationParallelRerandomizeTripletBuckets: 20688129 ns
ServerComputationApplyPermutationTripletBuckets: 1896561 ns
HelperComputationAll: 96513120 ns
ServerComputationParallelRerandomizeTripletBuckets: 20988449 ns
ServerComputationApplyPermutationTripletBuckets: 1922259 ns
HelperComputationAll: 90962982 ns
ServerComputationParallelRerandomizeTripletBuckets: 21118176 ns
ServerComputationApplyPermutationTripletBuckets: 1888868 ns
HelperComputationAll: 91698245 ns
ServerComputationParallelRerandomizeTripletBuckets: 20180345 ns
ServerComputationApplyPermutationTripletBuckets: 1892973 ns
HelperComputationAll: 91949983 ns
ServerComputationParallelRerandomizeTripletBuckets: 20878271 ns
ServerComputationApplyPermutationTripletBuckets: 1900018 ns
HelperComputationAll: 91765763 ns
ServerComputationParallelRerandomizeTripletBuckets: 23797835 ns
ServerComputationApplyPermutationTripletBuckets: 1911346 ns
HelperComputationAll: 91782803 ns
ServerComputationParallelRerandomizeTripletBuckets: 21691364 ns
ServerComputationApplyPermutationTripletBuckets: 2184899 ns
HelperComputationAll: 91907960 ns
ServerComputationParallelRerandomizeTripletBuckets: 20302660 ns
ServerComputationApplyPermutationTripletBuckets: 1908460 ns
HelperComputationAll: 91934618 ns
ServerComputationParallelRerandomizeTripletBuckets: 23189925 ns
ServerComputationApplyPermutationTripletBuckets: 1905202 ns
HelperComputationAll: 92125482 ns
ServerComputationParallelRerandomizeTripletBuckets: 20778240 ns
ServerComputationApplyPermutationTripletBuckets: 1882838 ns
HelperComputationAll: 102994177 ns
ServerComputationParallelRerandomizeTripletBuckets: 22199277 ns
ServerComputationApplyPermutationTripletBuckets: 1901554 ns
HelperComputationAll: 90980723 ns
ServerComputationParallelRerandomizeTripletBuckets: 24105350 ns
ServerComputationApplyPermutationTripletBuckets: 1915304 ns
HelperComputationAll: 90926525 ns
ServerComputationParallelRerandomizeTripletBuckets: 20880359 ns
ServerComputationApplyPermutationTripletBuckets: 2181524 ns
HelperComputationAll: 90869310 ns
ServerComputationParallelRerandomizeTripletBuckets: 22733462 ns
ServerComputationApplyPermutationTripletBuckets: 1902246 ns
HelperComputationAll: 91946029 ns
ServerComputationParallelRerandomizeTripletBuckets: 23364875 ns
ServerComputationApplyPermutationTripletBuckets: 1913541 ns
HelperComputationAll: 91500194 ns
ServerComputationParallelRerandomizeTripletBuckets: 20044898 ns
ServerComputationApplyPermutationTripletBuckets: 1901359 ns
HelperComputationAll: 91088035 ns
ServerComputationParallelRerandomizeTripletBuckets: 20260207 ns
ServerComputationApplyPermutationTripletBuckets: 1897141 ns
HelperComputationAll: 91406288 ns
ServerComputationParallelRerandomizeTripletBuckets: 19800663 ns
ServerComputationApplyPermutationTripletBuckets: 1908404 ns
HelperComputationAll: 90442360 ns
ServerComputationParallelRerandomizeTripletBuckets: 22758914 ns
ServerComputationApplyPermutationTripletBuckets: 1879819 ns
HelperComputationAll: 91480566 ns
ServerComputationParallelRerandomizeTripletBuckets: 21911983 ns
ServerComputationApplyPermutationTripletBuckets: 1902316 ns
HelperComputationAll: 92007197 ns
ServerComputationParallelRerandomizeTripletBuckets: 23483681 ns
ServerComputationApplyPermutationTripletBuckets: 1875111 ns
HelperComputationAll: 91606063 ns
ServerComputationParallelRerandomizeTripletBuckets: 19819277 ns
ServerComputationApplyPermutationTripletBuckets: 1905571 ns
HelperComputationAll: 91873284 ns
DiskIOWriteBucketCiphertextsToDisk: 353788613 ns
Generating Evict Path
ServerComputationGenPathBucketIDsInReverseOrder: 1396 ns
DiskIOLoadBucketCiphertextsFromDiskBN: 113098484 ns
ClientServerCommunicationSendRootBucketData: 233674619 ns
ServerComputationParallelRerandomizeTripletBuckets: 22623394 ns
ServerComputationApplyPermutationTripletBucket: 4776488 ns
HelperComputationAll: 106698972 ns
ServerComputationParallelRerandomizeTripletBuckets: 21954599 ns
ServerComputationApplyPermutationTripletBuckets: 2069105 ns
HelperComputationAll: 89696965 ns
ServerComputationParallelRerandomizeTripletBuckets: 21753911 ns
ServerComputationApplyPermutationTripletBuckets: 2022325 ns
HelperComputationAll: 90647417 ns
ServerComputationParallelRerandomizeTripletBuckets: 20680538 ns
ServerComputationApplyPermutationTripletBuckets: 1905423 ns
HelperComputationAll: 91290559 ns
ServerComputationParallelRerandomizeTripletBuckets: 20191001 ns
ServerComputationApplyPermutationTripletBuckets: 1981907 ns
HelperComputationAll: 91150026 ns
ServerComputationParallelRerandomizeTripletBuckets: 23465444 ns
ServerComputationApplyPermutationTripletBuckets: 2213170 ns
HelperComputationAll: 90292086 ns
ServerComputationParallelRerandomizeTripletBuckets: 21041752 ns
ServerComputationApplyPermutationTripletBuckets: 2008581 ns
HelperComputationAll: 90527828 ns
ServerComputationParallelRerandomizeTripletBuckets: 20407172 ns
ServerComputationApplyPermutationTripletBuckets: 1906242 ns
HelperComputationAll: 90596301 ns
ServerComputationParallelRerandomizeTripletBuckets: 19211970 ns
ServerComputationApplyPermutationTripletBuckets: 1916413 ns
HelperComputationAll: 90912609 ns
ServerComputationParallelRerandomizeTripletBuckets: 17317615 ns
ServerComputationApplyPermutationTripletBuckets: 2172823 ns
HelperComputationAll: 90594296 ns
ServerComputationParallelRerandomizeTripletBuckets: 16777970 ns
ServerComputationApplyPermutationTripletBuckets: 1939544 ns
HelperComputationAll: 90661356 ns
ServerComputationParallelRerandomizeTripletBuckets: 22080423 ns
ServerComputationApplyPermutationTripletBuckets: 1925088 ns
HelperComputationAll: 90839483 ns
ServerComputationParallelRerandomizeTripletBuckets: 20247996 ns
ServerComputationApplyPermutationTripletBuckets: 1917280 ns
HelperComputationAll: 91311821 ns
ServerComputationParallelRerandomizeTripletBuckets: 22629725 ns
ServerComputationApplyPermutationTripletBuckets: 1906860 ns
HelperComputationAll: 91241537 ns
ServerComputationParallelRerandomizeTripletBuckets: 22869335 ns
ServerComputationApplyPermutationTripletBuckets: 1899788 ns
HelperComputationAll: 91067207 ns
ServerComputationParallelRerandomizeTripletBuckets: 18871985 ns
ServerComputationApplyPermutationTripletBuckets: 1911365 ns
HelperComputationAll: 91742549 ns
ServerComputationParallelRerandomizeTripletBuckets: 22787468 ns
ServerComputationApplyPermutationTripletBuckets: 2223300 ns
HelperComputationAll: 93648243 ns
ServerComputationParallelRerandomizeTripletBuckets: 20326117 ns
ServerComputationApplyPermutationTripletBuckets: 1929995 ns
HelperComputationAll: 91737636 ns
ServerComputationParallelRerandomizeTripletBuckets: 22228329 ns
ServerComputationApplyPermutationTripletBuckets: 1904715 ns
HelperComputationAll: 90879245 ns
ServerComputationParallelRerandomizeTripletBuckets: 20347965 ns
ServerComputationApplyPermutationTripletBuckets: 1915062 ns
HelperComputationAll: 90193544 ns
ServerComputationParallelRerandomizeTripletBuckets: 21497600 ns
ServerComputationApplyPermutationTripletBuckets: 1917944 ns
HelperComputationAll: 90842576 ns
