Initializing ElGamal Parameters...
Starting server...
Server started on port 8183
ServerComputation:ConvertPID2BIDs: 4576 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 50033 ns
ServerComputation:ParallelMultiplyCiphertexts: 1122904 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 54950 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26715 ns
ServerComputation:ParallelMultiplyCiphertexts: 1144619 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44083 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24090 ns
ServerComputation:ParallelMultiplyCiphertexts: 1143947 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43957 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25414 ns
ServerComputation:ParallelMultiplyCiphertexts: 1187476 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 42815 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24540 ns
ServerComputation:ParallelMultiplyCiphertexts: 1175442 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 48585 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25706 ns
ServerComputation:ParallelMultiplyCiphertexts: 1171917 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43735 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 23642 ns
ServerComputation:ParallelMultiplyCiphertexts: 1181029 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45063 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25190 ns
ServerComputation:ParallelMultiplyCiphertexts: 1186034 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44170 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28366 ns
ServerComputation:ParallelMultiplyCiphertexts: 1183954 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46716 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28450 ns
ServerComputation:ParallelMultiplyCiphertexts: 1200658 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45795 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28984 ns
ServerComputation:ParallelMultiplyCiphertexts: 1203794 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 48038 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 27895 ns
ServerComputation:ParallelMultiplyCiphertexts: 1177584 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46705 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28001 ns
ServerComputation:ParallelMultiplyCiphertexts: 1193082 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45508 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28234 ns
ServerComputation:ParallelMultiplyCiphertexts: 1172801 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45636 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 27296 ns
ServerComputation:ParallelMultiplyCiphertexts: 1191942 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43247 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25844 ns
ServerComputation:ParallelMultiplyCiphertexts: 1187214 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45760 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25651 ns
ServerComputation:ParallelMultiplyCiphertexts: 1155418 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44052 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 23941 ns
ServerComputation:ParallelMultiplyCiphertexts: 1167684 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43649 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 22844 ns
ServerComputation:ParallelMultiplyCiphertexts: 1151471 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44320 ns
ClientServerCommunication:SendData: 19126193 ns
ServerComputation:ConvertPID2BIDs: 1853 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 49077 ns
ServerComputation:ParallelMultiplyCiphertexts: 1115858 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 50971 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25591 ns
ServerComputation:ParallelMultiplyCiphertexts: 1160241 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45522 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24959 ns
ServerComputation:ParallelMultiplyCiphertexts: 1155723 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43230 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 27029 ns
ServerComputation:ParallelMultiplyCiphertexts: 1175048 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44189 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25441 ns
ServerComputation:ParallelMultiplyCiphertexts: 1159806 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43611 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26551 ns
ServerComputation:ParallelMultiplyCiphertexts: 1204055 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47144 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 29420 ns
ServerComputation:ParallelMultiplyCiphertexts: 1172098 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45097 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25107 ns
ServerComputation:ParallelMultiplyCiphertexts: 1207395 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46890 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25276 ns
ServerComputation:ParallelMultiplyCiphertexts: 1187945 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45730 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 29906 ns
ServerComputation:ParallelMultiplyCiphertexts: 1128981 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 42639 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 29364 ns
ServerComputation:ParallelMultiplyCiphertexts: 1211060 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45947 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 27342 ns
ServerComputation:ParallelMultiplyCiphertexts: 1180044 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45213 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 27679 ns
ServerComputation:ParallelMultiplyCiphertexts: 1179956 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43838 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 27981 ns
ServerComputation:ParallelMultiplyCiphertexts: 1183829 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47029 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28219 ns
ServerComputation:ParallelMultiplyCiphertexts: 1176764 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46010 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26737 ns
ServerComputation:ParallelMultiplyCiphertexts: 1193027 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45526 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25334 ns
ServerComputation:ParallelMultiplyCiphertexts: 1179866 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44306 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24433 ns
ServerComputation:ParallelMultiplyCiphertexts: 1194251 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43246 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 22082 ns
ServerComputation:ParallelMultiplyCiphertexts: 1192281 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 42515 ns
ClientServerCommunication:SendData: 16757057 ns
ServerComputation:ConvertPID2BIDs: 1883 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 47954 ns
ServerComputation:ParallelMultiplyCiphertexts: 1113743 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 51935 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26098 ns
ServerComputation:ParallelMultiplyCiphertexts: 1165112 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 42883 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24440 ns
ServerComputation:ParallelMultiplyCiphertexts: 1196126 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46494 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26351 ns
ServerComputation:ParallelMultiplyCiphertexts: 1230364 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 42739 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25127 ns
ServerComputation:ParallelMultiplyCiphertexts: 1189160 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45528 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25537 ns
ServerComputation:ParallelMultiplyCiphertexts: 1157441 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45065 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24587 ns
ServerComputation:ParallelMultiplyCiphertexts: 1210159 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45095 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25409 ns
ServerComputation:ParallelMultiplyCiphertexts: 1184458 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 42374 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 30914 ns
ServerComputation:ParallelMultiplyCiphertexts: 1191981 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44484 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28424 ns
ServerComputation:ParallelMultiplyCiphertexts: 1175215 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 48428 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28775 ns
ServerComputation:ParallelMultiplyCiphertexts: 1171022 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45730 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28539 ns
ServerComputation:ParallelMultiplyCiphertexts: 1197704 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 42527 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 29044 ns
ServerComputation:ParallelMultiplyCiphertexts: 1193409 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44822 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28030 ns
ServerComputation:ParallelMultiplyCiphertexts: 1179145 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44198 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28710 ns
ServerComputation:ParallelMultiplyCiphertexts: 1201709 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46009 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 27432 ns
ServerComputation:ParallelMultiplyCiphertexts: 1181046 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44724 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24772 ns
ServerComputation:ParallelMultiplyCiphertexts: 1167872 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43187 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24735 ns
ServerComputation:ParallelMultiplyCiphertexts: 1188366 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45036 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 22569 ns
ServerComputation:ParallelMultiplyCiphertexts: 1181124 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 42112 ns
ClientServerCommunication:SendData: 19829048 ns
ServerComputation:ConvertPID2BIDs: 6231 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 53314 ns
ServerComputation:ParallelMultiplyCiphertexts: 1132994 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 49462 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 27490 ns
ServerComputation:ParallelMultiplyCiphertexts: 1147470 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 42948 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24104 ns
ServerComputation:ParallelMultiplyCiphertexts: 1113783 ns
